,Country,City,Cluster Labels,Capital,Population,Winter,Summer,Year,Latitude,Longitude,Arts And Entertainment,Food,Nightlife,Outdoors And Recreation,Map_Color,Cluster_Color
126,India,Kolkata,3,0,4496694,0,0,0,22.54541245,88.3567751581234,7.783496052877959,15.34460650424512,10.007352067985947,14.67744969971272,#A0A0A0,#dbb40c
127,India,Kota,3,0,1001694,0,0,0,25.196825600000004,76.00089330885551,4.991544323915287,3.9932354591322294,0.9983088647830574,14.974632971745864,#A0A0A0,#dbb40c
128,India,Lucknow,3,0,2817105,0,0,0,26.8381,80.9346001,2.484820409604896,13.489025080712292,1.774871721146354,3.549743442292708,#A0A0A0,#dbb40c
129,India,Ludhiana,3,0,1618879,0,0,0,30.9090157,75.851601,2.4708455665926854,16.060496182852454,2.4708455665926854,2.4708455665926854,#A0A0A0,#dbb40c
130,India,Madurai,3,0,1017865,0,0,0,9.9261153,78.1140983,12.771831234986958,30.455905252661207,6.877139895762208,7.859588452299667,#A0A0A0,#dbb40c
131,India,Meerut,3,0,1305429,0,0,0,28.916667,77.68333299999998,4.596190217928359,9.192380435856718,3.0641268119522396,3.8301585149402992,#A0A0A0,#dbb40c
132,India,Mumbai,3,0,12442373,0,0,0,18.9387711,72.8353355,10.528538245879624,14.868546377768935,9.64446251530958,15.591881066417155,#A0A0A0,#dbb40c
133,India,Nagpur,3,0,2405665,0,0,0,21.1498134,79.0820556,2.078427378708174,22.862701165789918,3.7411692816747135,12.470564272249046,#A0A0A0,#dbb40c
134,India,Nashik,3,0,1486053,0,0,0,20.0112475,73.79023640000003,2.691694037830414,22.206475812100916,4.710464566203224,5.383388075660828,#A0A0A0,#dbb40c
135,India,Navi Mumbai,0,0,1120547,0,0,0,19.0308262,73.0198537,127.61624456626987,199.00994782012714,122.26171682223057,187.40847104137532,#A0A0A0,#7e1e9c
136,India,Patna,3,0,1684297,0,0,0,25.6093239,85.1235252,10.093231775631018,4.156036613495126,2.3748780648543577,2.968597581067947,#A0A0A0,#dbb40c
137,India,Pimpri Chinchwad,3,0,1727692,0,0,0,18.6279288,73.80098290000002,32.41318475746835,82.19057563500901,53.82903897222421,41.095287817504506,#A0A0A0,#dbb40c
138,India,Pune,3,0,3124458,0,0,0,18.521428,73.8544541,17.9231085839528,50.24871513715339,29.44510695935103,23.04399675079646,#A0A0A0,#dbb40c
139,India,Raipur,3,0,1027264,0,0,0,21.2379469,81.6336833,5.840757585197184,11.681515170394368,3.8938383901314557,3.8938383901314557,#A0A0A0,#dbb40c
140,India,Rajkot,3,0,1323363,0,0,0,22.3051991,70.80283349999998,3.7782528301002825,15.868661886421185,1.5113011320401128,3.7782528301002825,#A0A0A0,#dbb40c
141,India,Ranchi,3,0,1073427,0,0,0,23.3700354,85.3250132,3.7263828839781374,5.589574325967206,3.7263828839781374,19.56351014088522,#A0A0A0,#dbb40c
142,India,Srinagar,3,0,1206419,0,0,0,34.07474439999999,74.82044429999998,6.631195297819414,9.94679294672912,0.0,8.288994122274268,#A0A0A0,#dbb40c
143,India,Surat,3,0,4501610,0,0,0,21.1864607,72.80812809999998,1.777141955878008,9.774280757329045,1.9992847003627592,3.9985694007255184,#A0A0A0,#dbb40c
144,India,Thane,0,0,1841488,0,0,0,19.1943294,72.97017790000002,0.0,117.29644722094307,74.93939683560251,105.34958685584701,#A0A0A0,#7e1e9c
145,India,Vadodara,3,0,1752371,0,0,0,22.2973142,73.1942567,10.2717974675454,27.96211532831803,3.9945879040454333,10.842452882409033,#A0A0A0,#dbb40c
146,India,Varanasi,3,0,1198491,0,0,0,25.3356491,83.0076292,5.006295416486232,16.68765138828744,4.17191284707186,6.6750605553149756,#A0A0A0,#dbb40c
147,India,Vasai,3,0,1222390,0,0,0,19.43988455,72.88038340007749,33.54085030145862,35.99505886010193,16.361390390955425,67.89977012246501,#A0A0A0,#dbb40c
148,India,Vijayawada,3,0,1143232,0,0,0,16.5087586,80.6185102,11.371270223366736,27.990819011364273,4.3735654705256675,6.122991658735935,#A0A0A0,#dbb40c
149,India,Visakhapatnam,3,0,1728128,0,0,0,17.7231276,83.30128420000001,10.994555958817866,27.775720317013555,2.8933041996889117,20.831790237760163,#A0A0A0,#dbb40c
150,Indonesia,Bandar Lampung,3,0,1033601,0,0,0,-5.4460713,105.2643742,12.577387212280174,55.14700546922845,18.382335156409486,43.53710958096983,#A0A0A0,#dbb40c
151,Indonesia,Bandung,3,0,2525220,0,0,0,-6.9344694,107.6049539,34.45244374747546,83.16107111459596,19.404249926739055,84.34908641623305,#A0A0A0,#dbb40c
152,Indonesia,Batam,0,0,1347762,0,0,0,1.1061034,104.0378246,110.5536437442219,175.8470709220174,139.49050351619945,119.45729290483037,#A0A0A0,#7e1e9c
153,Indonesia,Bogor,3,0,5162044,0,0,0,-6.596298599999999,106.7972421,11.429580995435142,35.838516680601714,9.492363877564777,37.388290374898006,#A0A0A0,#dbb40c
154,Indonesia,Cirebon,3,0,1891957,0,0,0,-6.713704400000001,108.5608483,5.81408562668179,43.3413655807188,6.342638865471044,21.6706827903594,#A0A0A0,#dbb40c
155,Indonesia,Jakarta,3,1,10428001,0,0,0,-6.1753942,106.827183,19.85040085822777,20.90525307774712,20.713461765107233,22.056000953586405,#A0A0A0,#dbb40c
156,Indonesia,Makasar,0,0,1502459,0,0,0,-6.26958695,106.88869732007156,135.11183999030922,145.0954734871301,119.13802639539581,151.08565358522262,#A0A0A0,#7e1e9c
157,Indonesia,Malang,3,0,1382786,0,0,0,-8.10479815,112.68798721390587,17.356264816103142,97.62898959058019,28.203930326167605,42.66748433958689,#A0A0A0,#dbb40c
158,Indonesia,Medan,3,0,2269588,0,0,0,3.5896654000000003,98.6738261,18.946169965650153,86.79989495890884,22.911647400321115,42.2984259698236,#A0A0A0,#dbb40c
159,Indonesia,Palembang,3,0,1649298,0,0,0,-2.9888297,104.756857,18.795875578579494,43.6549368276685,13.945327042171883,35.16647688895518,#A0A0A0,#dbb40c
160,Indonesia,Sukabumi,3,0,1301873,0,0,0,-6.9199289,106.9265095,9.217488956296043,86.02989692542975,18.434977912592085,63.75429861438097,#A0A0A0,#dbb40c
161,Indonesia,Surabaya,3,0,2885245,0,0,0,-7.2459717,112.73782659999998,20.795461044036124,74.86365975853003,16.9829598526295,67.5852483931174,#A0A0A0,#dbb40c
162,Indonesia,Tangerang,3,0,3050758,0,0,0,-6.1734808,106.4992042,20.322818132411683,70.14650129574355,21.961755078573916,38.351124540196246,#A0A0A0,#dbb40c
163,Iran,Ahwaz,3,0,1184788,0,0,0,31.3229936,48.6793316,3.376131426044153,42.201642825551914,9.284361421621421,32.91728140393049,#A0A0A0,#dbb40c
164,Iran,Esfahan,3,0,1961260,0,0,0,32.6707877,51.6650002,11.217278688190245,35.69134128060533,3.059257824051885,35.69134128060533,#A0A0A0,#dbb40c
165,Iran,Karaj,3,0,1592492,0,0,0,35.8228964,50.95876430889607,7.535359675276234,55.8872509249654,10.047146233701644,71.58591691512422,#A0A0A0,#dbb40c
166,Iran,Mashhad,3,0,3001184,0,0,0,36.2974945,59.60592320000001,5.331229274846194,24.990137225841536,2.3324128077452095,23.990531736807874,#A0A0A0,#dbb40c
167,Iran,Qom,3,0,1201158,0,0,0,34.6423117,50.8800969,4.16264970969681,34.133727619513834,3.3301197677574472,26.640958142059578,#A0A0A0,#dbb40c
168,Iran,Shiraz,3,0,1565572,0,0,0,29.6060218,52.5378041,9.581162667702284,27.465999647413213,3.1937208892340947,47.90581333851142,#A0A0A0,#dbb40c
169,Iran,Tabriz,0,0,1558693,0,0,0,38.0739964,46.29619520000001,97.51759968127142,149.48421530089632,55.1744313986141,167.44798366323582,#A0A0A0,#7e1e9c
170,Iran,Tehran,3,1,8693706,0,0,0,35.7006177,51.4013785,17.59893881849697,24.385457709289916,8.051802073822142,32.66731127093554,#A0A0A0,#dbb40c
171,Iraq,Al-Basrah,3,0,1225793,0,0,0,30.4952367,47.8090981,5.710588981989618,8.973782685983686,5.710588981989618,4.078992129992584,#A0A0A0,#dbb40c
172,Iraq,Baghdad,3,1,1211934,0,0,0,33.3024309,44.3787992,3.3005097637330088,52.80815621972814,4.125637204666261,16.502548818665044,#A0A0A0,#dbb40c
173,Ireland,Dublin,2,1,544107,0,1,1936,53.3497645,-6.2602732,233.4099726708166,428.2245955299233,431.90034313103854,404.3322361226744,#ff878c,#f97306
176,Italy,Milano,0,0,1358871,2,1,2026,45.4668,9.1905,97.13946356938959,175.1453964357176,164.84272605714597,170.7299662734726,#ff878c,#7e1e9c
177,Italy,Roma,3,1,2873147,0,2,2024,41.8933203,12.4829321,54.64391484320155,82.13989747130934,67.17372971170636,83.1840487103514,#e50000,#dbb40c
179,Italy,Torino,0,0,884680,2,0,2006,45.06775510000001,7.682489200000001,125.46909617036668,185.3777637111724,106.25310846859881,180.8563548401682,#0504aa,#7e1e9c
180,Japan,Fukuoka,0,0,1538681,0,0,0,33.6251241,130.6180016,125.43210710992076,159.8771935183446,51.342675967273266,145.5792331223951,#A0A0A0,#7e1e9c
181,Japan,Hiroshima,0,0,1194034,0,0,0,34.391605799999994,132.4518156,100.4996507637136,203.51179279652,71.18725262429713,163.3119324910346,#A0A0A0,#7e1e9c
182,Japan,Kawasaki,0,0,1475213,0,0,0,35.523142,139.708024,202.6825956658462,166.07771216766662,163.36623931594963,169.4670532323129,#A0A0A0,#7e1e9c
183,Japan,Kobe,0,0,1537272,0,0,0,34.69323789999999,135.1943764,156.120712534932,161.3247362860964,152.86819769045428,153.5187006593498,#A0A0A0,#7e1e9c
184,Japan,Kyoto,0,0,1475183,0,0,0,35.021041,135.7556075,128.119697691744,169.470499592254,87.44677778960306,115.91782172110172,#A0A0A0,#7e1e9c
185,Japan,Nagano,5,0,377598,2,0,1998,36.1143945,138.0319015,217.16216717249563,542.9054179312391,108.58108358624781,521.7188650363614,#0504aa,#b9a281
186,Japan,Nagoya,0,0,2295638,0,1,1988,35.1851045,136.8998438,104.98170878858079,107.15975253938122,63.1632687732125,98.01196878601941,#ff878c,#7e1e9c
187,Japan,Osaka,0,0,2691185,0,1,2008,34.6198813,135.49035700000002,91.78112987401461,92.15271339577174,90.66637930874317,92.52429691752889,#ff878c,#7e1e9c
188,Japan,Saitama,0,0,1263979,0,0,0,35.9754168,139.4160114,107.59672431266658,185.1296580085587,97.3117433121911,136.8693625447891,#A0A0A0,#7e1e9c
189,Japan,Sapporo,0,0,1952356,2,0,2026,43.061936,141.35429240000005,97.31831694629463,126.51381203018303,36.87852010596428,110.63556031789285,#0504aa,#7e1e9c
190,Japan,Sendai,0,0,1082159,0,0,0,38.2677554,140.8691498,158.01744475626964,229.17149882780626,57.292874706951565,198.67690422571914,#A0A0A0,#7e1e9c
191,Japan,Tokyo,3,1,9272740,0,2,2021,35.68283870000001,139.7594549,32.89211171670941,26.313689373367527,25.882317416427078,28.254863179599557,#e50000,#dbb40c
192,Japan,Yokohama,3,0,3724844,0,0,0,35.44499099999999,139.636768,64.43222857118312,65.2376314283229,65.7745666664161,58.525940952157995,#A0A0A0,#dbb40c
193,Jordan,Amman,3,1,3728346,0,0,0,31.9515694,35.9239625,13.67898794800697,58.20275264151986,21.18902054691276,44.52376469351289,#A0A0A0,#dbb40c
194,Kazakhstan,Almaty,3,0,1828325,1,0,2022,43.2363924,76.9457275,31.723025173314376,48.67843517974102,22.424897105273953,74.38502454432336,#75bbfd,#dbb40c
195,Kazakhstan,Astana,3,1,1054481,0,0,0,51.15092055,71.4388595154859,24.656679447045512,42.675022119886464,35.08835152079554,66.3833677420456,#A0A0A0,#dbb40c
196,Kenya,Nairobi,3,1,3109861,0,0,0,-1.2832533000000002,36.8172449,18.007235693170852,32.15577802351938,20.901255715287597,31.51266246304899,#A0A0A0,#dbb40c
197,Madagascar,Antananarivo,3,1,1521898,0,0,0,-18.9100122,47.5255809,3.942445551541562,23.65467330924937,5.913668327312343,6.570742585902603,#A0A0A0,#dbb40c
198,Malaysia,Kuala Lumpur,0,1,1824323,0,1,2008,3.1516964,101.6942371,106.34081793629747,133.7482452394669,105.79266939023407,153.48159289774892,#ff878c,#7e1e9c
199,Mali,Bamako,3,1,1810366,0,0,0,12.60503275,-7.986513673439357,2.2094979689189924,4.418995937837985,4.418995937837985,2.2094979689189924,#A0A0A0,#dbb40c
200,Mexico,Aguascalientes,0,0,1056561,0,0,0,22.0000001,-102.5000001,63.4132813912306,200.65097992449085,55.841546299740386,159.95290380773093,#A0A0A0,#7e1e9c
201,Mexico,Cuernavaca,0,0,1032278,0,0,0,18.9218274,-99.2342282,58.123877482616116,230.55804734771058,87.18581622392416,158.8719317858174,#A0A0A0,#7e1e9c
202,Mexico,Guadalajara,3,0,5060750,0,0,0,20.6720375,-103.3383962,29.639875512522845,44.26221409870079,34.18465642444302,50.38778837128884,#A0A0A0,#dbb40c
203,Mexico,Juárez,3,0,1462133,0,0,0,19.29348285,-100.46459243844757,2.051796929554288,12.99471388717716,2.7357292394057175,9.575052337920011,#A0A0A0,#dbb40c
204,Mexico,La Laguna,3,0,1417538,0,0,0,20.443863,-97.44505868410332,7.759933067050055,88.88650604075518,22.57435074050925,55.02497992999129,#A0A0A0,#dbb40c
205,Mexico,León,0,0,1757811,0,0,0,21.1218598,-101.6825081,28.44446871705775,127.43121985241872,40.960034952563156,95.57341488931404,#A0A0A0,#7e1e9c
206,Mexico,Mexicali,3,0,1065882,0,0,0,32.624862199999995,-115.448325,29.08389484014178,107.89186795536466,39.40398655761145,77.86978295908928,#A0A0A0,#dbb40c
207,Mexico,Mexico City,3,1,21800320,0,2,1968,19.4326296,-99.1331785,8.990693714587676,10.091594985761677,10.137465872060593,10.73378739394651,#e50000,#dbb40c
208,Mexico,Monterrey,3,0,4834971,0,0,0,25.6802019,-100.3152586,27.094267990438826,45.50182410608047,31.023970981418504,49.224700623850694,#A0A0A0,#dbb40c
209,Mexico,Mérida,0,0,1196520,0,0,0,20.9670759,-89.6237402,82.73994584294454,144.5859659679738,57.66723498144619,179.68776117407145,#A0A0A0,#7e1e9c
210,Mexico,Puebla,3,0,3046766,0,0,0,18.833333,-98.0,7.548988008924874,43.32462683382971,5.907903659158596,25.929132726307174,#A0A0A0,#dbb40c
211,Mexico,Querétaro,3,0,1337686,0,0,0,20.854257500000006,-99.84756,5.980476733702827,38.87309876906838,3.737797958564267,26.16458570994987,#A0A0A0,#dbb40c
212,Mexico,San Luis Potosí,3,0,1188221,0,0,0,22.5000001,-100.5000001,3.3663771301803287,3.3663771301803287,1.6831885650901643,4.20797141272541,#A0A0A0,#dbb40c
213,Mexico,Tijuana,3,0,2024994,0,0,0,32.501018800000004,-116.9646629,33.58034641090295,95.80275299581135,60.74092071383915,67.65452144549565,#A0A0A0,#dbb40c
214,Mexico,Toluca,3,0,2386157,0,0,0,19.292545,-99.6569007,35.62213215643397,95.55113096078757,25.145034463365153,84.23586545227326,#A0A0A0,#dbb40c
215,Mongolia,Ulaanbaatar,3,1,1477174,0,0,0,47.91846760000001,106.9177016,18.278144619388105,32.49447932335662,29.78660604641024,28.43266940793705,#A0A0A0,#dbb40c
216,Morocco,Casablanca,3,0,3352399,0,0,0,33.59506270000001,-7.6187768,6.264170822148557,45.63895884708234,14.91469243368704,25.35497713726797,#A0A0A0,#dbb40c
217,Morocco,Fès,3,0,1146967,0,0,0,34.0346534,-5.0161926,4.359323328395673,60.158661931860294,6.103052659753943,17.437293313582693,#A0A0A0,#dbb40c
218,Morocco,Kénitra,3,0,1058359,0,0,0,34.26457,-6.570169,11.338307700884105,34.01492310265231,7.558871800589403,16.06260257625248,#A0A0A0,#dbb40c
219,Morocco,Marrakech,3,0,1325571,0,0,0,31.6258257,-7.9891608,12.82466197585795,62.61452611742411,34.70202652290975,42.24594533223796,#A0A0A0,#dbb40c
220,Morocco,Tanger,3,0,1059562,0,0,0,35.77710300000001,-5.803792,8.494075853984949,64.17746200788628,11.32543447197993,43.41416547592307,#A0A0A0,#dbb40c
221,Mozambique,Maputo,3,1,1241702,0,0,0,-25.966213,32.56745,11.274846943952735,34.629887042140545,9.664154523388058,33.82454083185821,#A0A0A0,#dbb40c
222,Myanmar,Mandalay,3,0,1225546,0,0,0,21.981274600000006,96.082375,4.079814221579606,30.190625239689084,5.711739910211448,6.52770275452737,#A0A0A0,#dbb40c
223,Myanmar,Nay Pyi Taw,3,1,1160242,0,0,0,19.7540045,96.1344976,4.309445788033876,8.618891576067751,2.5856674728203255,7.757002418460977,#A0A0A0,#dbb40c
224,Myanmar,Yangon,3,0,5211431,0,0,0,16.7967129,96.1609916,4.605261011802709,18.421044047210835,7.483549144179401,12.280696031473889,#A0A0A0,#dbb40c
225,Netherlands,Amsterdam,2,1,821752,0,2,1992,52.3727598,4.8936041,238.5147830489004,290.84200586064895,300.57730312795104,273.80523564287034,#e50000,#f97306
226,New Zealand,Auckland,0,0,1695900,0,0,0,-36.852095,174.76318030000004,38.91738899699275,119.70045403620496,47.76225013267292,129.13497258093048,#A0A0A0,#7e1e9c
227,Niger,Niamey,3,1,1026848,0,0,0,13.524834,2.109823,3.8954158745987724,13.633955561095702,3.8954158745987724,9.738539686496932,#A0A0A0,#dbb40c
228,North Korea,Pyongyang,3,1,2581076,0,0,0,39.0194741,125.753388,6.586400400453145,2.3246119060422865,1.1623059530211433,1.937176588368572,#A0A0A0,#dbb40c
230,Norway,Oslo,2,1,634293,2,0,2022,59.9133301,10.7389701,187.61045762762635,283.7805241426281,165.53863908319974,294.8164334148414,#0504aa,#f97306
231,Pakistan,Faisalabad,3,0,3203846,0,0,0,31.422055800000006,73.0923253,2.4969989194237177,4.369748108991506,0.3121248649279647,2.8091237843516823,#A0A0A0,#dbb40c
232,Pakistan,Gujranwala,3,0,2027001,0,0,0,32.1525312,74.1933745,4.933396678146681,2.4666983390733406,0.0,8.880114020664026,#A0A0A0,#dbb40c
233,Pakistan,Hyderabad,3,0,1732693,0,0,0,25.3801017,68.3750376,3.4628177063103505,4.039953990695409,1.1542725687701167,2.3085451375402335,#A0A0A0,#dbb40c
234,Pakistan,Islamabad,3,1,1014825,0,0,0,33.6938118,73.0651511,11.824698839701426,87.69984972778558,13.795481979651663,50.25497006873106,#A0A0A0,#dbb40c
235,Pakistan,Karachi,3,0,14910352,0,0,0,25.1446897,67.18477673157341,0.2012024934086063,1.3413499560573754,0.33533748901434385,1.0060124670430315,#A0A0A0,#dbb40c
236,Pakistan,Lahore,3,0,11126285,0,0,0,31.5656079,74.3141775,1.8874224415427072,5.302758288143797,0.44938629560540644,4.583740215175146,#A0A0A0,#dbb40c
237,Pakistan,Multan,3,0,1871843,0,0,0,30.1979793,71.4724978,4.808095550748647,9.081958262525223,1.6026985169162156,2.6711641948603595,#A0A0A0,#dbb40c
238,Pakistan,Peshawar,3,0,1970042,0,0,0,34.012384600000004,71.5787458,2.0304135647869437,7.106447476754302,0.0,2.0304135647869437,#A0A0A0,#dbb40c
239,Pakistan,Quetta,3,0,1001205,0,0,0,30.1891852,67.0184433,0.0,6.99157515194191,0.0,10.986760953051572,#A0A0A0,#dbb40c
240,Pakistan,Rawalpindi,3,0,2098231,0,0,0,33.6038766,73.048136,5.71910337803607,45.75282702428856,6.672287274375414,24.306189356653295,#A0A0A0,#dbb40c
241,Panama,Ciudad De Panamá,0,1,1107085,0,0,0,8.9714493,-79.53418020000002,56.90619961430242,148.1367735991365,52.38983456554826,132.78113243337233,#A0A0A0,#7e1e9c
242,Paraguay,Asunción,3,1,2887087,0,0,0,-25.2800459,-57.6343814,46.41356495318637,67.19575821580713,29.787810343089763,85.20699237674515,#A0A0A0,#dbb40c
243,Peru,Lima,3,1,10350721,0,0,0,-12.0621065,-77.03652559999998,13.81546271027883,20.578276624401337,10.820502262596007,24.249518463496408,#A0A0A0,#dbb40c
244,Philippines,Caloocan,0,0,1583978,0,0,0,14.6571285,120.984107,138.8908179280268,116.16322953980422,126.89570183424266,136.99685222900825,#A0A0A0,#7e1e9c
245,Philippines,Davao,3,0,1632991,0,0,0,7.226507249999999,125.45488769135531,42.253754001093704,70.42292333515616,36.130021537167075,56.95071191451759,#A0A0A0,#dbb40c
246,Philippines,Manila,0,1,1780148,0,0,0,14.5906216,120.9799696,123.585229992113,102.23869026620258,115.15896431083259,121.33822581043823,#A0A0A0,#7e1e9c
247,Philippines,Quezon City,3,0,2936116,0,0,0,14.6509905,121.0486155,75.26950570072844,62.3272377521869,56.877861773853624,74.58833370343679,#A0A0A0,#dbb40c
248,Poland,Kraków,0,0,759104,1,0,2022,50.0469432,19.99715343583669,126.46488491695472,216.04417839979766,84.30992327796982,196.28404013152348,#75bbfd,#7e1e9c
